"","ano","semana_epidemiologica","fecha_inicio_semana_epidemiologica","grupo_etario","departamento_residencia","n_notificaciones","n_confirmados_probables_fis","n_confirmados_por_laboratorio","n_internados_fecha_internacion","n_internados_uti_fecha_internacion","n_fallecidos_confirmados_por_laboratorio","Latitude","Longitud"
"220",2023,7,2023-02-12,"[50,60)","COMUNA 3",1,0,0,0,0,0,"-34.611.339","-58.366.940"
"221",2023,7,2023-02-12,"[60,70)","COMUNA 3",1,0,0,0,0,0,"-34.611.339","-58.366.940"
"222",2023,7,2023-02-12,"[0,10)","COMUNA 4",2,0,0,0,0,0,"-34.617.566","-58.358.616"
"223",2023,7,2023-02-12,"[10,20)","COMUNA 4",2,0,0,0,0,0,"-34.617.566","-58.358.616"
"224",2023,7,2023-02-12,"[20,30)","COMUNA 4",2,0,0,0,0,0,"-34.617.566","-58.358.616"
"225",2023,7,2023-02-12,"[30,40)","COMUNA 4",2,0,0,0,0,0,"-34.617.566","-58.358.616"
"226",2023,7,2023-02-12,"[40,50)","COMUNA 4",5,0,0,0,0,0,"-34.617.566","-58.358.616"
"227",2023,7,2023-02-12,"[80,90)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"228",2023,7,2023-02-12,"[0,10)","COMUNA 5",1,0,0,0,0,0,"-34.624.987","-58.350.197"
"229",2023,7,2023-02-12,"[30,40)","COMUNA 5",1,1,0,0,0,0,"-34.624.987","-58.350.197"
"230",2023,7,2023-02-12,"[40,50)","COMUNA 5",1,0,0,0,0,0,"-34.624.987","-58.350.197"
"231",2023,7,2023-02-12,"[50,60)","COMUNA 6",1,0,0,0,0,0,"-34.633.553","-58.341.546"
